rid,uid,role,feature,benefit,novelty_avg
1737,280,home owner,"a mirror that shows weather reports, daily to-do listings, reminders etc using Glass technology","I am aware of my daily programs, forecast etc.",Entertainment,3.6667
1738,284,home occupant,voice-activated lights,I can turn on and off the lights wherever I am in the room.,Energy,2.0000
1739,284,parent,an alarm to go off whenever someone who is under a certain height goes out of the house,my children will be secure.,Safety,4.6667
1740,284,home occupant,an automatic pet feeder,I won't have to take note of the time my pet last ate.,Other,3.3333
1741,284,home occupant,"to have changing ambiance ""scenes""",we will automatically have different themes for different events or parties.,Entertainment,4.3333
1742,284,parent,automatic security gates on staircases,it will automatically put up security measures when my child comes within a few feet from the stairs.,Safety,5.0000
1743,284,home occupant,an automatic solar panel,it will automatically switch all electrical consumption to solar and store energy during the day.,Energy,3.6667
1744,284,home occupant,an automatic air conditioner that would detect when I am nearly home and automatically turn on,the house is already comfortably warm or cool when I enter it.,Other,3.3333
1745,284,home occupant,a security camera and a siren which can be remotely monitored,it would be good for chasing thieves away.,Safety,2.0000
1746,284,home occupant,"a device that can be tagged to keys, pets, phones, etc.","if they are missing, I will be immediately informed and be able to locate them.",Other,3.0000
1747,284,home occupant,my appliances to send an alert when it needs cleaning or repair,it will be immediately notified and have it repaired.,Energy,4.0000
1748,287,movie lover,my tv to tell me when new movie releases in my geners are released,i can keep up with new movies,Entertainment,5.0000
1749,290,home owner,all the lights in every room to turn off at 11pm,we don't waste electricity and can sleep in peace,Energy,2.3333
1750,293,home occupant,windows that open with smartphone,so that i dont have to do it manually.,Other,4.0000
1751,287,home occupant,sensors around house to tell me when someone gets within 10 ft of house,i can keep my family safe,Safety,4.0000
1752,293,home occupant,something that automatically vaccums,so i dont have to do it manually.,Safety,3.3333
1753,290,parent,the front and back doors to automatically lock after 6pm,if we forget to close them we don't have to worry about burglars,Safety,4.0000
1754,287,home owner,my safe to alert my phone when someone tries to open it,i can know if someone is getting in,Safety,4.3333
1755,293,home occupant,opens doors by fingerprints,so that i dont have to do it manually.,Energy,3.0000
1756,293,home occupant,"something that cleans, dust.",no manual labor.,Health,3.3333
1757,287,bill payer,my phone to tell me the temp in my house and allow me to adjust it,i can keep my bill lower,Energy,1.0000
1759,289,home occupant,a device that monitors the last time someone did a chore,I don't have to keep track of it,Energy,3.3333
1760,293,home occupant,something that cuts grass,i dont have to do it manually.,Energy,3.5000
1761,287,parent,my medicine cabinet to remind me to give children medicine,i don't forget to give them vitamins,Health,4.0000
1762,289,home occupant,a device that tells me what devices are taking up the most energy,I don't waste energy,Energy,4.0000
1763,290,home owner,all my electronics in the living room to turn on when i open the front door,i dont' waste time turning everything on manually,Entertainment,3.3333
1764,293,home occupant,something that prevents sun from coming in windows.,so no sun pentrates.,Safety,3.6667
1765,287,parent,a medice cabnit that locks and lets me know when someone tries to open it,pills can not be misused,Health,5.0000
1766,293,home occupant,sprinklers that come on automatically and consumers water,so i dont have to do it.,Energy,2.0000
1767,289,home occupant,my house to turn off devices that haven't been used in a certain amount of time,I don't waste energy,Energy,3.5000
1768,293,home occupant,something that turns my tv on at a certain time of the day,so i dont have to do it,Entertainment,2.0000
1769,289,home occupant,cameras that turn on when they sense movement,trespassers can be identified,Safety,2.0000
1770,293,home occupant,automatic shower heads turning on at a certain time.,enables it to get hot,Energy,2.8333
1771,287,home owner,to send grocery list from fridge to phone,i wont forget my list,Health,4.0000
1772,293,home occupant,turns fans on at a certain temp,dont have to do it manually.,Energy,4.0000
1773,289,home occupant,a water guage,I can keep track of how much water has been used that month,Energy,3.0000
1774,287,parent,to control tv consumption from my phone,my kids cant watch all the time,Entertainment,4.3333
1775,294,home owner,my home to adjust the lighting on my computer and television screens according to the amount of light in the room,straining in my eyes are reduced while I am working or reading.,Health,3.3333
1776,287,parent,to shut off all phones in the house at certain times,i can control media usage,Entertainment,3.0000
1777,289,home occupant,a loud speaker system,I don't have to yell ,Other,4.0000
1779,287,home owner,my phone to tell me when someothing is wrong with the electrical system in house,i can get it fixed,Safety,3.0000
1780,289,student,reminders to pop up after a certain amount of time,I don't forget to do my work,Entertainment,4.0000
1781,290,pet owner,my phone to alert me if the dog leaves the premise using a sensor on the dog's collar,i know if the dog has escaped the area,Safety,2.0000
1783,290,home owner,the temperature to always be changeable via a phone app,i can have all thermostats change to a specific temperature using just one device,Energy,3.0000
